jahr,index,kernreihe,ernaehrung,freiheit,gesundheit,infrastruktur,materiell,oekologie,sicherheit,ueberleben,wissen
2005,50.2004,48.9114,64.2489,48.9399,51.8203,44.4078,48.7473,41.4889,59.0705,46.4302,50.4457
2006,50.5632,49.2997,64.3805,49.2821,52.2238,45.3533,49.4349,40.1858,59.2375,47.8195,51.0835
2007,50.8958,49.6793,64.5140,49.7120,52.5885,46.7389,50.2367,38.5250,59.4448,49.0876,51.4756
2008,51.3910,50.2396,64.6079,50.0844,53.3953,47.8467,50.8299,38.4943,59.3527,50.0196,52.0649
2009,51.9353,50.8864,64.6746,50.4183,53.9936,48.8313,51.2686,39.5404,58.9407,50.9478,52.5254
2010,51.8952,50.8016,64.7410,50.5635,54.5054,49.8982,52.0981,36.2498,59.0676,51.8321,53.0312
2011,52.0196,50.9045,64.7933,50.9620,54.9625,50.7729,52.8391,34.4190,59.1458,52.5294,53.5733
2012,52.3157,51.2204,64.8442,51.4201,55.2916,51.5715,53.4495,33.6958,59.2018,53.6088,54.0160
2013,52.4828,51.3417,64.8961,51.7433,55.7479,52.2888,54.2941,32.5090,59.3940,54.2014,54.3166
2014,52.7945,51.6797,64.9220,51.8802,56.1631,52.9749,54.7666,32.3822,59.4687,54.7068,55.1099
2015,53.2083,52.1322,64.9490,52.1107,56.5613,53.7153,55.2709,33.0150,59.6495,55.0950,55.4330
2016,53.5341,52.5054,64.9736,52.1278,57.1486,54.6009,55.6982,33.1386,59.6295,55.7841,55.6565
2017,53.5612,52.5288,64.9981,52.2652,57.4999,55.2884,56.0574,31.9747,59.7886,56.2226,55.7532
2018,53.4360,52.3682,65.0202,52.4583,57.9190,55.9895,56.4561,29.9572,60.0025,56.6499,55.8640
2019,53.6279,52.6382,64.9658,52.6289,58.1908,56.7671,56.4389,29.9234,60.1906,56.9815,56.0793
2020,54.5047,53.7326,64.9221,52.7445,58.0265,57.5850,56.4217,34.3215,60.0477,56.5885,56.3846
2021,53.4948,52.5613,64.8757,52.6954,57.7530,58.1428,56.9086,29.5491,60.1026,54.4363,56.8036
2022,53.7832,52.8973,64.8782,52.6582,57.9818,58.5826,57.0637,28.8756,60.1958,57.1514,57.2419
2023,53.5946,52.6657,64.8931,52.6727,57.9071,58.9320,57.4456,27.3681,60.1359,57.7866,57.2480
