jahr,id,domaene,rohwert,normiert,interpoliert
2005,kindersterblichkeit,ueberleben,62.3000,47.6700,0
2006,kindersterblichkeit,ueberleben,59.6000,49.7432,0
2007,kindersterblichkeit,ueberleben,57.0000,51.5901,0
2008,kindersterblichkeit,ueberleben,54.7000,53.1143,0
2009,kindersterblichkeit,ueberleben,52.9000,54.2418,0
2010,kindersterblichkeit,ueberleben,50.6000,55.6060,0
2011,kindersterblichkeit,ueberleben,49.5000,56.2300,0
2012,kindersterblichkeit,ueberleben,46.7000,57.7421,0
2013,kindersterblichkeit,ueberleben,45.1000,58.5602,0
2014,kindersterblichkeit,ueberleben,43.9000,59.1532,0
2015,kindersterblichkeit,ueberleben,42.9000,59.6346,0
2016,kindersterblichkeit,ueberleben,41.7000,60.1976,0
2017,kindersterblichkeit,ueberleben,40.9000,60.5642,0
2018,kindersterblichkeit,ueberleben,40.0000,60.9687,0
2019,kindersterblichkeit,ueberleben,39.6000,61.1458,0
2020,kindersterblichkeit,ueberleben,39.2000,61.3213,0
2021,kindersterblichkeit,ueberleben,39.6000,61.1458,0
2022,kindersterblichkeit,ueberleben,40.0000,60.9687,0
2023,kindersterblichkeit,ueberleben,38.3000,61.7105,0
2005,muettersterblichkeit,ueberleben,283.0000,40.2235,0
2006,muettersterblichkeit,ueberleben,276.0000,41.7423,0
2007,muettersterblichkeit,ueberleben,269.0000,43.1858,0
2008,muettersterblichkeit,ueberleben,264.0000,44.1739,0
2009,muettersterblichkeit,ueberleben,258.0000,45.3152,0
2010,muettersterblichkeit,ueberleben,253.0000,46.2312,0
2011,muettersterblichkeit,ueberleben,247.0000,47.2906,0
2012,muettersterblichkeit,ueberleben,239.0000,48.6400,0
2013,muettersterblichkeit,ueberleben,235.0000,49.2891,0
2014,muettersterblichkeit,ueberleben,231.0000,49.9220,0
2015,muettersterblichkeit,ueberleben,228.0000,50.3864,0
2016,muettersterblichkeit,ueberleben,220.0000,51.5837,0
